﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Undersøgelsesmetode;Undersøgelsesniveau;Søtype/Sønaturtype;Teknisk anvisning;Dataejer;Link;Transekt nummer;Transekt navn;Transekt-start, GeoZone;Transekt-start, x-koordinat;Transekt-start, y-koordinat;Transekt-slut, GeoZone;Transekt-slut, x-koordinat;Transekt-slut, y-koordinat;Punkt nummer;Punkt, GeoZone;Punkt, x-koordinat;Punkt, y-koordinat;Aktivitetssted;Aktiv;Dybde (cm);Arts tom;Taxonkode;Artkode;Art latin;Art;Dækningsgrad;Undervandsplanter, dækningsgrad;Undervandsplanter, gennemsnitshøjde;Trådalger, dækningsgrad;Kvalitetsmærke
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;16-07-2018;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;3150 - Næringsrig sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/5c48b9cd-0723-4b24-9d01-ddd28690ad2b;47;Transektnr AV13;32;689712;6209043;32;691274;6207784;7;32;691179;6207861;47_7;Ja;170;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;05-07-2005;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/fae56ba8-fada-4ee6-9c92-f910807f6ed3;23;Transektnr AØ06;32;698076;6205900;32;697229;6206582;11;32;697846;6206085;23_11;Ja;150;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;10-08-2020;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e13d31b3-a1af-4c34-98be-cf07087d973c;46;Transektnr AV13;32;689712;6209043;32;691274;6207784;3;32;689707;6209046;46_3;Ja;130;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;23-08-2011;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/91949dfb-1a90-4a35-96dd-58c9b1fa1cca;17;Transektnr AN03;32;696712;6208540;32;694281;6210499;3;32;696642;6208596;17_3;Ja;160;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;29-06-2006;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/52a495e4-4ba9-4bf7-9800-7b770d4fbaf0;6;Transektnr AM12;32;692548;6207271;32;692711;6207140;3;32;692660;6207181;6_3;Ja;100;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;05-07-2005;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/fae56ba8-fada-4ee6-9c92-f910807f6ed3;17;Transektnr AN03;32;696712;6208540;32;694281;6210499;11;32;694281;6210499;17_11;Ja;50;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;25-06-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9534acc4-2d9a-4455-ad3d-dd10cbdf7de2;26;Transektnr AS09;32;696542;6205595;32;696382;6205723;3;32;696455;6205664;26_3;Ja;140;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;29-06-2006;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/52a495e4-4ba9-4bf7-9800-7b770d4fbaf0;19;Transektnr AØ02;32;698584;6207545;32;697520;6208402;5;32;698238;6207824;19_5;Ja;80;Nej;300000900000;8;Trådalger;Trådalger;1 - 1-5 %;0 - 0 %;50;1 - 1-5 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;10-08-2020;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e13d31b3-a1af-4c34-98be-cf07087d973c;2;Transektnr AM09;32;693252;6208245;32;693336;6208178;1;32;693240;6208254;2_1;Ja;30;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;30-06-2014;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;3150 - Næringsrig sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/113505ad-1363-48d2-adb4-c669222366df;23;Transektnr AØ06;32;698076;6205900;32;697229;6206582;17;32;697291;6206532;23_17;Ja;140;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;05-07-2005;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/fae56ba8-fada-4ee6-9c92-f910807f6ed3;23;Transektnr AØ06;32;698076;6205900;32;697229;6206582;14;32;697504;6206361;23_14;Ja;90;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;23-08-2011;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/91949dfb-1a90-4a35-96dd-58c9b1fa1cca;23;Transektnr AØ06;32;698076;6205900;32;697229;6206582;16;32;697437;6206414;23_16;Ja;140;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;30-06-2014;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;3150 - Næringsrig sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/113505ad-1363-48d2-adb4-c669222366df;43;Transektnr AV09;32;691039;6210028;32;691858;6209369;6;32;691077;6209998;43_6;Ja;190;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;23-08-2011;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/91949dfb-1a90-4a35-96dd-58c9b1fa1cca;2;Transektnr AM08;32;693538;6208529;32;693591;6208486;1;32;693538;6208529;2_1;Ja;110;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;12-08-2024;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/63cb4794-256d-4f85-a529-2c950eb56ea4;27;Transektnr AS11;32;695822;6205147;32;695716;6205233;5;32;695778;6205183;27_5;Ja;190;Nej;2900500030630;6466;Potamogeton perfoliatus;Hjertebladet vandaks;0 - 0 %;0 - 0 %;0;0 - 0 %;1
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;23-08-2011;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/91949dfb-1a90-4a35-96dd-58c9b1fa1cca;19;Transektnr AØ02;32;698584;6207545;32;697520;6208402;15;32;697536;6208389;19_15;Ja;120;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;25-06-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9534acc4-2d9a-4455-ad3d-dd10cbdf7de2;18;Transektnr AN04;32;696489;6208206;32;696284;6208371;6;32;696284;6208371;18_6;Ja;160;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;20-07-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f4efb2b6-aec3-4173-954f-a464dc20a112;37;Transektnr AV03;32;691894;6212422;32;693424;6211190;4;32;692294;6212100;37_4;Ja;150;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;16-07-2018;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;3150 - Næringsrig sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/5c48b9cd-0723-4b24-9d01-ddd28690ad2b;45;Transektnr AV11;32;690129;6209734;32;691202;6208869;10;32;691202;6208869;45_10;Ja;100;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;23-08-2011;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/91949dfb-1a90-4a35-96dd-58c9b1fa1cca;47;Transektnr AV13;32;689712;6209043;32;691274;6207784;4;32;691179;6207861;47_4;Ja;240;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;10-08-2020;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e13d31b3-a1af-4c34-98be-cf07087d973c;3;Transektnr AM10;32;692967;6207961;32;693029;6207912;2;32;692942;6207982;3_2;Ja;70;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;05-07-2005;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/fae56ba8-fada-4ee6-9c92-f910807f6ed3;41;Transektnr AV07;32;691263;6210876;32;691328;6210823;2;32;691297;6210848;41_2;Ja;160;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;23-08-2011;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/91949dfb-1a90-4a35-96dd-58c9b1fa1cca;49;Transektnr AV15;32;689549;6208147;32;690824;6207120;5;32;689918;6207852;49_5;Ja;230;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;12-08-2024;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/63cb4794-256d-4f85-a529-2c950eb56ea4;18;Transektnr AØ02;32;698584;6207545;32;697520;6208402;12;32;697520;6208402;18_12;Ja;80;Ja;;;;;;0 - 0 %;0;0 - 0 %;1
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;23-08-2011;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/91949dfb-1a90-4a35-96dd-58c9b1fa1cca;25;Transektnr AS08;32;696582;6206076;32;696464;6206171;4;32;696478;6206160;25_4;Ja;200;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;20-07-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f4efb2b6-aec3-4173-954f-a464dc20a112;44;Transektnr AV10;32;690440;6209997;32;691570;6209087;9;32;691570;6209087;44_9;Ja;100;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;20-07-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f4efb2b6-aec3-4173-954f-a464dc20a112;4;Transektnr AM10;32;692967;6207961;32;693029;6207912;1;32;692967;6207961;4_1;Ja;125;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;12-08-2024;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/63cb4794-256d-4f85-a529-2c950eb56ea4;42;Transektnr AV09;32;691039;6210028;32;691858;6209369;2;32;690999;6210061;42_2;Ja;70;Ja;;;;;;0 - 0 %;0;0 - 0 %;1
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;29-06-2006;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/52a495e4-4ba9-4bf7-9800-7b770d4fbaf0;38;Transektnr AV04;32;691611;6212137;32;691934;6211876;4;32;691756;6212019;38_4;Ja;120;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;12-08-2024;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/63cb4794-256d-4f85-a529-2c950eb56ea4;46;Transektnr AV13;32;689712;6209043;32;691274;6207784;9;32;691258;6207798;46_9;Ja;120;Ja;;;;;;0 - 0 %;0;0 - 0 %;1
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;10-08-2020;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e13d31b3-a1af-4c34-98be-cf07087d973c;33;Transektnr AS17;32;693446;6203979;32;693406;6204012;1;32;693460;6203968;33_1;Ja;40;Nej;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;3 - 26-50 %;3 - 26-50 %;15;3 - 26-50 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;30-06-2014;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;3150 - Næringsrig sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/113505ad-1363-48d2-adb4-c669222366df;16;Transektnr AN02;32;696744;6209028;32;695128;6210331;10;32;695436;6210082;16_10;Ja;80;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;23-08-2011;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/91949dfb-1a90-4a35-96dd-58c9b1fa1cca;13;Transektnr AM19;32;691212;6204752;32;691270;6204706;5;32;691270;6204706;13_5;Ja;190;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;30-06-2014;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;3150 - Næringsrig sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/113505ad-1363-48d2-adb4-c669222366df;13;Transektnr AM19;32;691212;6204752;32;691270;6204706;4;32;691242;6204728;13_4;Ja;120;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;16-07-2018;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;3150 - Næringsrig sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/5c48b9cd-0723-4b24-9d01-ddd28690ad2b;20;Transektnr AØ03;32;698615;6207006;32;697147;6208189;4;32;698523;6207081;20_4;Ja;200;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;30-06-2014;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;3150 - Næringsrig sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/113505ad-1363-48d2-adb4-c669222366df;49;Transektnr AV15;32;689549;6208147;32;690824;6207120;4;32;689574;6208127;49_4;Ja;140;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;23-08-2011;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/91949dfb-1a90-4a35-96dd-58c9b1fa1cca;31;Transektnr AS14;32;694959;6204302;32;694871;6204372;6;32;694871;6204372;31_6;Ja;210;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;30-06-2014;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;3150 - Næringsrig sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/113505ad-1363-48d2-adb4-c669222366df;28;Transektnr AS11;32;695822;6205147;32;695716;6205233;5;32;695778;6205183;28_5;Ja;170;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;23-08-2011;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/91949dfb-1a90-4a35-96dd-58c9b1fa1cca;35;Transektnr AS18;32;693307;6203579;32;693224;6203645;3;32;693269;6203608;35_3;Ja;140;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;16-07-2018;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;3150 - Næringsrig sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/5c48b9cd-0723-4b24-9d01-ddd28690ad2b;48;Transektnr AV14;32;689595;6208623;32;691126;6207390;1;32;689595;6208623;48_1;Ja;50;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;16-07-2018;1;Vegetation, Sø;Transekt/punktundersøgelse;Intensiv;3150 - Næringsrig sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/5c48b9cd-0723-4b24-9d01-ddd28690ad2b;44;Transektnr AV10;32;690440;6209997;32;691570;6209087;5;32;690482;6209964;44_5;Ja;130;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;49000068;ARRESØ, HELE SØEN;32;694826;6207864;Halsnæs;Region Hovedstaden;Sø;Arresø;23-08-2011;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/91949dfb-1a90-4a35-96dd-58c9b1fa1cca;16;Transektnr AN02;32;696744;6209028;32;695128;6210331;4;32;696448;6209267;16_4;Ja;140;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
